q32	i32sub
0.00383382	1.52034
0.00409822	1.47775
0.00436262	1.38746
0.00462703	1.30677
0.00489143	1.24135
0.00515583	1.18572
0.00542023	1.12928
0.00568463	1.07801
0.00594903	1.04306
0.00621343	1.00732
0.00647783	0.970569
0.00674224	0.934381
0.00700664	0.906314
0.00727104	0.885068
0.00753544	0.864937
0.00779984	0.8445
0.00806424	0.829995
0.00832864	0.813995
0.00859304	0.801307
0.00885744	0.785719
0.00912185	0.76692
0.00938625	0.748192
0.00965065	0.731896
0.00991505	0.717683
0.0101794	0.705024
0.0104438	0.69506
0.0107083	0.685306
0.0109727	0.673253
0.0112371	0.664362
0.0115015	0.653156
0.0117659	0.640849
0.0120303	0.630177
0.0122947	0.619378
0.0125591	0.607913
0.0128235	0.596313
0.0130879	0.585405
0.0133523	0.575427
0.0136167	0.565048
0.0138811	0.553609
0.0141455	0.542578
0.0144099	0.530046
0.0146743	0.517389
0.0149387	0.505204
0.0152031	0.494846
0.0154675	0.483347
0.0157319	0.471237
0.0159963	0.458673
0.0162607	0.447729
0.0165251	0.437605
0.0167895	0.427208
0.0170539	0.417757
0.0173183	0.407962
0.0175827	0.397309
0.017847	0.388121
0.0181114	0.379782
0.0183758	0.371704
0.0186402	0.363682
0.0189046	0.355301
0.019169	0.346846
0.0194334	0.33985
0.0196978	0.332193
0.0199622	0.324884
0.0202266	0.318732
0.020491	0.312533
0.0207554	0.306573
0.0210198	0.300155
0.0212842	0.293306
0.0215486	0.287414
0.021813	0.281892
0.0220774	0.276619
0.0223418	0.272181
0.0226062	0.266944
0.0228706	0.262585
0.023135	0.258665
0.0233994	0.253697
0.0236638	0.248567
0.0239282	0.244107
0.0241926	0.240307
0.024457	0.237526
0.0247214	0.234556
0.0249858	0.230619
0.0252502	0.226172
0.0255146	0.222067
0.025779	0.219001
0.0260434	0.215676
0.0263078	0.212223
0.0265722	0.207885
0.0268366	0.204779
0.027101	0.20262
0.0273654	0.199667
0.0276298	0.196024
0.0278942	0.19352
0.0281586	0.191258
0.0284229	0.188462
0.0286873	0.185646
0.0289517	0.183256
0.0292161	0.180675
0.0294805	0.177778
0.0297449	0.175392
0.0300093	0.173176
0.0302737	0.17055
0.0305381	0.168414
0.0308025	0.166036
0.0310669	0.163605
0.0313313	0.160806
0.0315957	0.158219
0.0318601	0.156181
0.0321245	0.154941
0.0323889	0.153503
0.0326533	0.151381
0.0329177	0.148273
0.033182	0.145924
0.0334464	0.144138
0.0337108	0.142597
0.0339752	0.140597
0.0342396	0.138422
0.034504	0.136237
0.0347684	0.13453
0.0350328	0.133045
0.0352972	0.131003
0.0355616	0.129437
0.035826	0.128048
0.0360904	0.126426
0.0363548	0.124449
0.0366192	0.122285
0.0368835	0.120812
0.0371479	0.118765
0.0374123	0.117506
0.0376767	0.116251
0.0379411	0.114611
0.0382055	0.113451
0.0384699	0.111895
0.0387343	0.110136
0.0389987	0.108774
0.0392631	0.107674
0.0395274	0.106412
0.0397918	0.104911
0.0400562	0.103448
0.0403206	0.102119
0.040585	0.100713
0.0408494	0.0994407
0.0411138	0.0986914
0.0413782	0.097915
0.0416426	0.0965828
0.0419069	0.0948733
0.0421713	0.0933474
0.0424357	0.092468
0.0427001	0.0915263
0.0429645	0.0905278
0.0432289	0.0894359
0.0434933	0.0886142
0.0437577	0.0873921
0.0440221	0.0860341
0.0442864	0.0850436
0.0445508	0.0842751
0.0448152	0.0833942
0.0450796	0.0824485
0.045344	0.0812465
0.0456084	0.0799484
0.0458728	0.0791499
0.0461371	0.0779666
0.0464015	0.0769626
0.0466659	0.0758432
0.0469303	0.0748549
0.0471947	0.0737911
0.0474591	0.0731424
0.0477235	0.0727246
0.0479878	0.0722205
0.0482522	0.0713939
0.0485166	0.0706648
0.048781	0.0696687
0.0490454	0.0686765
0.0493098	0.067731
0.0495741	0.0668265
0.0498385	0.0658841
0.0501029	0.0648483
0.0503673	0.0642537
0.0506317	0.0641193
0.0508961	0.0634831
0.0511604	0.0626483
0.0514248	0.0617832
0.0516892	0.061083
0.0519536	0.0603729
0.052218	0.0595593
0.0524823	0.0584979
0.0527467	0.0578152
0.0530111	0.0575193
0.0532755	0.0573436
0.0535399	0.0566735
0.0538042	0.055538
0.0540686	0.0549638
0.054333	0.0546588
0.0545974	0.0541169
0.0548618	0.0534893
0.0551261	0.0527204
0.0553905	0.0520977
0.0556549	0.0514953
0.0559193	0.0510465
0.0561837	0.0508661
0.056448	0.0501885
0.0567124	0.0496338
0.0569768	0.0492535
0.0572412	0.0487381
0.0575055	0.0481641
0.0577699	0.0473304
0.0580343	0.0467865
0.0582987	0.046423
0.058563	0.0457957
0.0588274	0.045339
0.0590918	0.0448607
0.0593562	0.0445495
0.0596205	0.0443066
